Sequence Name,Predicted Haplogroup,N,Nph,Nph_tot,Nph_exp,P_Hg
Contig.1,M7c1c3,292,31,47,47,65.957
Contig.1,M7c1c2,292,32,47,47,68.085
Contig.1,M7c1c1,292,31,49,49,63.265
Contig.1,L3e1f1,292,31,45,45,68.889
Contig.1,L3e1f2,292,31,48,48,64.583
Contig.1,Y1a,292,36,43,43,83.721
Contig.1,D1j1a2,292,31,52,52,59.615
Contig.1,D1j1a1,292,31,49,49,63.265
Contig.1,Y1b,292,36,44,44,81.818
Contig.1,H1aj1,292,39,47,47,82.979
Contig.1,M49a2,292,32,45,45,71.111
Contig.1,H1q1,292,39,46,46,84.783
Contig.1,M49a1,292,32,46,46,69.565
Contig.1,Z4a1,292,30,50,50,60.000
Contig.1,N9a2a2,292,36,48,48,75.000
Contig.1,N9a2a1,292,37,50,50,74.000
Contig.1,Y1b1a,292,36,46,46,78.261
Contig.1,U4a1,292,36,51,51,70.588
Contig.1,T2f8a,292,53,57,57,92.982
Contig.1,G4,292,32,51,51,62.745
Contig.1,G3,292,33,43,43,76.744
Contig.1,G2,292,33,44,44,75.000
Contig.1,G1,292,33,45,45,73.333
Contig.1,HV4a1a,292,38,46,46,82.609
Contig.1,B2w,292,35,50,50,70.000
Contig.1,B2v,292,37,52,52,71.154
Contig.1,B2u,292,36,52,52,69.231
Contig.1,B2t,292,37,55,55,67.273
Contig.1,B2s,292,37,55,55,67.273
Contig.1,B2r,292,37,50,50,74.000
Contig.1,B2q,292,37,50,50,74.000
Contig.1,B2p,292,37,52,52,71.154
Contig.1,J1b9,292,43,54,54,79.630
Contig.1,J1b8,292,41,52,52,78.846
Contig.1,B2m,292,37,52,52,71.154
Contig.1,A2af1a2,292,34,57,57,59.649
Contig.1,B2k,292,36,49,49,73.469
Contig.1,B2j,292,37,55,55,67.273
Contig.1,B2i,292,37,50,50,74.000
Contig.1,B2h,292,37,51,51,72.549
Contig.1,J1b1,292,42,53,53,79.245
Contig.1,B2f,292,37,53,53,69.811
Contig.1,V_16298!,292,38,44,44,86.364
Contig.1,J1b2,292,42,52,52,80.769
Contig.1,J1b5,292,42,54,54,77.778
Contig.1,L1c2a1b,292,10,56,56,17.857
Contig.1,L1c2a1a,292,10,61,61,16.393
Contig.1,J1b6,292,42,52,52,80.769
Contig.1,L0a2a2a2,292,6,50,50,12.000
Contig.1,L0a2a2a1,292,8,51,51,15.686
Contig.1,H3k1,292,37,45,45,82.222
