Gene	Pvalue
IDUA	0.255667006104604
AQP1	0.159189326190101
HOGA1	0.249165893793408
TRPV6	0.150262947931278
DGKH	0.419261607004005
ENTPD1	0.375269876702358
FGFR1	0.415401845910362
PMF1-BGLAP	0.225269335379184
SLC26A7	0.899852371939047
AP2S1	0.169251640937407
NT5E	0.496228221893777
LDHA	0.72710067414819
C10orf55	0.00957059027034265
CLDN19	0.525321700729199
ENTPD1-AS1	0.486467004310951
OCRL	0.901088799907359
RXRG	0.387618514404015
ABCC6	0.169029651007859
RXRA	0.0634590094002882
ALPL	0.322615068065647
CLDN14	0.0811476157727906
CLCN5	0.0674209083914792
SLC26A1	0.30177925399977
SPP1	0.233716664975506
SLC34A1	0.127798836676512
UMOD	0.0290205831664771
SLC26A6	0.0427050277457881
RXRB	0.426976354241344
SLC34A3	0.240916968578373
ANKH	0.804147284088354
KL	0.487407603595901
CLDN16	0.840101344230803
DMP1	0.316446618373536
F2	0.0888074615153043
FGF23	0.42004194671948
PLAU	0.0100833058657568
MINDY4	0.233150901377586
BGLAP	0.225269335379184
LRRC69	0.553064885848539
ENPP1	0.151463042438028
MIR6824	0.733935940456853
GNA11	0.556114019869183
LOC100130744	0.210444529749136
CYP24A1	0.481375224523275
AHSG	0.452786430511871
PHEX	0.766457171023436
CD44	0.351053543122359
INMT-MINDY4	0.233150901377586
TRPV5	0.686047545354815
MGP	0.758820397958438
PHEX-AS1	0.542155037020403
PTCHD1-AS	0.578559990317326
CASR	0.11561078365298
GRHPR	0.11787433515276
VDR	0.0717119685878073
CYP27B1	0.642772228642335
SLC26A2	0.0408538959384991
SLC26A3	0.151754276300739
AGXT	0.0157237268819869
