Gene	RANGE
IDUA	4:980784-998345,4:980784-998345
AQP1	7:30951308-30965132,7:30951308-30965132
HOGA1	10:99344101-99372555,10:99344101-99372555
TRPV6	7:142568955-142583490
DGKH	13:42712177-42830716,13:42712177-42817033,13:42712177-42817033,13:42712177-42817033,13:42712177-42817033,13:42614171-42817033,13:42622843-42817033,13:42622843-42817033
ENTPD1	10:97515672-97637023,10:97515408-97637023,10:97515672-97637023,10:97515408-97637023,10:97515672-97637023,10:97515408-97637023,10:97515408-97637023,10:97515672-97637023,10:97471535-97637023
FGFR1	8:38268655-38326352,8:38268655-38325363,8:38268655-38326352,8:38268655-38326352,8:38268655-38326352,8:38268655-38326352,8:38268655-38325363,8:38268655-38326352,8:38268655-38326352,8:38268655-38325363,8:38268655-38326352,8:38268655-38325363,8:38268655-38326352
PMF1-BGLAP	1:156182778-156213123,1:156182778-156213123,1:156182778-156213123,1:156182778-156213123
SLC26A7	8:92261515-92406946,8:92221721-92410382,8:92261515-92410382,8:92221721-92410382
AP2S1	19:47341414-47354252,19:47341414-47354252,19:47341414-47353547,19:47341414-47354252,19:47341414-47354026
NT5E	6:86159301-86205509,6:86159301-86205509
LDHA	11:18415935-18429765,11:18415935-18429765,11:18415935-18429765,11:18415935-18429765,11:18415935-18429765,11:18417812-18429765
C10orf55	10:75669726-75682535
CLDN19	1:43198763-43205925,1:43198763-43205925,1:43198763-43205925
ENTPD1-AS1	10:97512962-97849992,10:97780956-97849992,10:97780956-97849992,10:97780956-97849992
OCRL	X:128674231-128726537,X:128674251-128726530,X:128674251-128726530
RXRG	1:165406164-165414592,1:165370158-165394221,1:165370158-165414592,1:165370158-165414592
ABCC6	16:16243421-16317328,16:16315043-16317328,16:16243421-16317328,16:16243421-16317328
RXRA	9:137271140-137332432,9:137218308-137332432,9:137298427-137332432
ALPL	1:21835850-21904905,1:21835850-21904905,1:21835850-21904905
CLDN14	21:37832919-37852388,21:37832919-37915117,21:37832919-37948867,21:37832919-37838739,21:37832919-37852388
CLCN5	X:49687224-49863892,X:49687224-49863892,X:49834155-49863892,X:49687224-49807150,X:49832214-49863892
SLC26A1	4:981444-987228,4:972860-987228,4:981444-987228
SPP1	4:88896801-88904563,4:88896801-88904563,4:88896801-88904563,4:88896801-88904563,4:88896801-88904563
SLC34A1	5:176811431-176817514,5:176811431-176825849
UMOD	16:20344372-20364200,16:20344372-20364200,16:20344372-20364200
SLC26A6	3:48663155-48672926,3:48663155-48672926,3:48663155-48672926,3:48663155-48672926,3:48663155-48672926,3:48663155-48671279
RXRB	6_qbl_hap6:4393583-4400853,6_qbl_hap6:4393583-4400696,6_qbl_hap6:4393583-4400696,6_cox_hap2:4605197-4612307,6_cox_hap2:4605197-4612464,6_cox_hap2:4605197-4612307,6_dbb_hap3:4442668-4449780,6_dbb_hap3:4442668-4449780,6_dbb_hap3:4442668-4449937,6_mcf_hap5:4635125-4642391,6_mcf_hap5:4635125-4642234,6_mcf_hap5:4635125-4642234,6_mann_hap4:4618676-4625789,6_mann_hap4:4618676-4625789,6_mann_hap4:4618676-4625946,6:33161361-33168473,6:33161361-33168630,6:33161361-33168473
SLC34A3	9:140125208-140131006,9:140125384-140131006,9:140125208-140131006
ANKH	5:14704908-14871894
KL	13:33590570-33640282
CLDN16	3:190105660-190129932
DMP1	4:88571453-88585512,4:88571453-88585512
F2	11:46740715-46761058,11:46740715-46761058
FGF23	12:4477392-4488894
PLAU	10:75670858-75677258,10:75670858-75677258,10:75670858-75677258
MINDY4	7:30811032-30932002
BGLAP	1:156211752-156213123
LRRC69	8:92114846-92231482,8:92114846-92231464,8:92114846-92231482
ENPP1	6:132129155-132216295
MIR6824	3:48671068-48671131
GNA11	19:3094407-3124000
LOC100130744	5:14712802-14716638
CYP24A1	20:52769987-52790516,20:52769987-52790516
AHSG	3:186330711-186339107,3:186330711-186339107,3:186330711-186339107,3:186330711-186339107
PHEX	X:22050561-22269427,X:22050561-22269427
CD44	11:35160416-35253949,11:35160416-35253949,11:35160416-35244867,11:35160416-35253949,11:35160416-35253949,11:35160416-35253949,11:35160416-35253949,11:35160416-35253949
INMT-MINDY4	7:30791750-30932002
TRPV5	7:142605266-142630820
MGP	12:15033797-15038996,12:15033797-15038996
PHEX-AS1	X:22180848-22191100
PTCHD1-AS	X:22211121-23311263
CASR	3:121903180-122005344,3:121902529-122005344
GRHPR	9:37422706-37436986
VDR	12:48235319-48298814,12:48235319-48298814,12:48235319-48298814
CYP27B1	12:58156116-58160976
SLC26A2	5:149340299-149366963
SLC26A3	7:107405911-107443678
AGXT	2:241808161-241818536
