Coverage of Assembled mtDNA. Coverage 99.9336 - Per base depth 86.721.
Name	Type	Start	End	Length	Coverage	MeanDepth
Contig.1	Contig	1	16569	16569	99.934	86.721
D-Loop1	Annotation	1	578	578	100.000	21.542
ND5	Annotation	12337	14149	1813	99.945	16.321
ATP6	Annotation	8527	9208	682	100.000	16.208
ND3	Annotation	10059	10405	347	100.000	33.141
ND4L	Annotation	10470	10767	298	100.000	534.463
ND1	Annotation	3308	4263	956	99.686	14.480
ND6	Annotation	14149	14674	526	99.810	13.312
ND4	Annotation	10760	12138	1379	99.927	45.379
CYTB	Annotation	14747	15888	1142	99.912	15.349
COX1	Annotation	5904	7446	1543	100.000	16.568
D-Loop2	Annotation	16025	16571	547	99.452	17.735
RNR2	Annotation	1673	3230	1558	99.872	632.199
ND2	Annotation	4470	5512	1043	100.000	18.434
COX2	Annotation	7586	8270	685	100.000	16.651
RNR1	Annotation	650	1603	954	100.000	16.311
COX3	Annotation	9207	9991	785	100.000	19.590
ATP8	Annotation	8366	8573	208	100.000	16.062
